Date,High,Low,Open,Close,Volume,Adj Close
2016-1-4,657.7199707,627.5100098,656.289978,636.9899902,9314500,636.9899902
2016-1-5,646.9099731,627.6500244,646.8599854,633.789978,5822600,633.789978
2016-1-6,639.789978,620.3099976,622,632.6500244,5329200,632.6500244
2016-1-7,630,605.210022,621.7999878,607.9400024,7074900,607.9400024
2016-1-8,624.1400146,606,619.6599731,607.0499878,5512900,607.0499878
2016-1-11,619.8499756,598.5700073,612.4799805,617.7399902,4891600,617.7399902
2016-1-12,625.9899902,612.2399902,625.25,617.8900146,4724100,617.8900146
2016-1-13,620.8800049,579.1599731,620.8800049,581.8099976,7655200,581.8099976
2016-1-14,602.25,569.8800049,580.25,593,7238000,593
2016-1-15,584.6199951,565.2999878,572.2399902,570.1799927,7784500,570.1799927
2016-1-19,584,566.4500122,577.0900269,574.4799805,4807200,574.4799805
2016-1-20,578.4500122,547.1799927,564.3599854,571.7700195,7966400,571.7700195
2016-1-21,588.8099976,568.2199707,573.5800171,575.0200195,4952200,575.0200195
2016-1-22,600.0999756,584.1099854,588.7299805,596.3800049,5120100,596.3800049
2016-1-25,608.5,594.5599976,597.9899902,596.5300293,4396100,596.5300293
2016-1-26,604.5,590.3800049,603.4500122,601.25,3765700,601.25
2016-1-27,603.3900146,578.7800293,601.9899902,583.3499756,5152900,583.3499756
2016-1-28,638.0599976,597.5499878,608.3699951,635.3499756,14015200,635.3499756
2016-1-29,593,570,571.9799805,587,14677600,587
2016-2-1,581.7999878,570.3099976,578.1500244,574.8099976,6355100,574.8099976
2016-2-2,571.5599976,550.0900269,570,552.0999756,6312000,552.0999756
2016-2-3,556,521.9000244,553.5,531.0700073,10048700,531.0700073
2016-2-4,538.9899902,519.2199707,525,536.2600098,6199100,536.2600098
2016-2-5,529.4500122,499.1900024,529.2800293,502.1300049,9708900,502.1300049
2016-2-8,493.5,475.2099915,486.4700012,488.1000061,9825500,488.1000061
2016-2-9,498.3800049,474,478.0100098,482.0700073,7077900,482.0700073
2016-2-10,504.6600037,486,491.7600098,490.480011,6786200,490.480011
2016-2-11,509.2999878,484,491.1700134,503.8200073,7397400,503.8200073
2016-2-12,516.75,501.4899902,510.7000122,507.0799866,5384800,507.0799866
2016-2-16,524.4500122,511.6600037,519.4799805,521.0999756,5118500,521.0999756
2016-2-17,537.4799805,519.3900146,528.7399902,534.0999756,4824000,534.0999756
2016-2-18,541.2000122,523.7299805,541.1900024,525,4735000,525
2016-2-19,535.9500122,515.3499756,520.710022,534.9000244,4974700,534.9000244
2016-2-22,560.6500244,541.0800171,542.2000122,559.5,5566600,559.5
2016-2-23,556.9099731,545.3300171,555.5499878,552.9400024,4050800,552.9400024
2016-2-24,554.2700195,533.1500244,545.75,554.039978,6231700,554.039978
2016-2-25,559.3900146,545.289978,555.5200195,555.1500244,4525500,555.1500244
2016-2-26,562.5,553.1699829,560.1199951,555.2299805,4877000,555.2299805
2016-2-29,564.8099976,552.5100098,554,552.5200195,4145400,552.5200195
2016-3-1,579.25,556,556.289978,579.039978,5038500,579.039978
2016-3-2,585,573.7000122,581.75,580.210022,4582200,580.210022
2016-3-3,579.8699951,573.1099854,577.960022,577.4899902,2741300,577.4899902
2016-3-4,581.4000244,571.0700073,581.0700073,575.1400146,3416500,575.1400146
2016-3-7,573.6300049,555.5499878,573.539978,562.7999878,4926900,562.7999878
2016-3-8,571.3499756,554.7399902,557.8699951,560.2600098,4730000,560.2600098
2016-3-9,560.3499756,550.1300049,559.5599976,559.4699707,4377300,559.4699707
2016-3-10,567,547.9000244,566.7399902,558.9299927,3919900,558.9299927
2016-3-11,570.0599976,562.7299805,566.9500122,569.6099854,3771300,569.6099854
2016-3-14,576.8900146,563.0499878,567,573.3699951,3454200,573.3699951
2016-3-15,581.5200195,567,571,577.0200195,3876800,577.0200195
2016-3-16,581.3200073,571.1400146,576.6400146,574.2700195,3537700,574.2700195
2016-3-17,571.4000244,555.0100098,569.5100098,559.4400024,5928100,559.4400024
2016-3-18,562.3300171,546.0900269,560.9400024,552.0800171,7296900,552.0800171
2016-3-21,555.2399902,538.5800171,548.9099731,553.9799805,5155700,553.9799805
2016-3-22,562.7600098,545.0499878,545.1099854,560.4799805,4000600,560.4799805
2016-3-23,572.4799805,558.0999756,561,569.6300049,3983700,569.6300049
2016-3-24,583.5499878,567.0800171,567.1099854,582.9500122,5185500,582.9500122
2016-3-28,584.75,575.5599976,584.4000244,579.8699951,3121500,579.8699951
2016-3-29,595.8499756,576.5,580.1500244,593.8599854,4392600,593.8599854
2016-3-30,603.2399902,595,596.710022,598.6900024,3890500,598.6900024
2016-3-31,600.75,592.210022,599.2800293,593.6400146,2681800,593.6400146
2016-4-1,599.0300293,588.2999878,590.4899902,598.5,2917400,598.5
2016-4-4,599.5,590.5499878,599,593.1900024,2470800,593.1900024
2016-4-5,593.4699707,585.25,590.7700195,586.1400146,2308900,586.1400146
2016-4-6,602.3900146,587.5,587.5200195,602.0800171,2849900,602.0800171
2016-4-7,599.5999756,589.0800171,598.7600098,591.4299927,3189000,591.4299927
2016-4-8,597.8599854,589,594.3200073,594.5999756,2591900,594.5999756
2016-4-11,604,594.9099731,596.1400146,595.9299927,2704300,595.9299927
2016-4-12,604.0599976,592.3099976,598.4000244,603.1699829,2641100,603.1699829
2016-4-13,616.8099976,605.289978,607.6799927,614.8200073,4228300,614.8200073
2016-4-14,624.3800049,615.0700073,615.0700073,620.75,3512100,620.75
2016-4-15,626.7700195,618.1099854,621.9199829,625.8900146,2887700,625.8900146
2016-4-18,637.6400146,624.960022,625.3499756,635.3499756,4360900,635.3499756
2016-4-19,638.0100098,620.7999878,637.1400146,627.9000244,4055900,627.9000244
2016-4-20,636.5499878,623,630,632.9899902,2609400,632.9899902
2016-4-21,637.8200073,628.5,631,631,2596300,631
2016-4-22,628.25,611.5599976,624.4699707,620.5,5083900,620.5
2016-4-25,626.9799805,616.25,616.6099854,626.2000122,2682900,626.2000122
2016-4-26,626.75,614.8800049,626.1699829,616.8800049,2521400,616.8800049
2016-4-27,615.9500122,601.2800293,611.7999878,606.5700073,4068800,606.5700073
2016-4-28,626.7999878,599.2000122,615.539978,602,7872600,602
2016-4-29,669.9799805,654,666,659.5900269,10310700,659.5900269
2016-5-2,685.5,662.0300293,663.9199829,683.8499756,6578500,683.8499756
2016-5-3,680.2999878,670.4299927,677.3599854,671.3200073,4923400,671.3200073
2016-5-4,674,662.1400146,662.5900269,670.9000244,4635500,670.9000244
2016-5-5,676.4899902,656,673.3099976,659.0900269,4884100,659.0900269
2016-5-6,676.9500122,656.0100098,656.0499878,673.9500122,4365300,673.9500122
2016-5-9,686.9799805,671.4099731,673.9500122,679.75,3982200,679.75
2016-5-10,704.5499878,693.5,694,703.0700073,6105600,703.0700073
2016-5-11,719,701.6500244,705.789978,713.2299805,7338200,713.2299805
2016-5-12,722.4500122,711.5100098,717.3800049,717.9299927,5048200,717.9299927
2016-5-13,719.25,706.5100098,714.6400146,709.9199829,4763400,709.9199829
2016-5-16,713.25,700.2800293,710.1300049,710.6599731,5432900,710.6599731
2016-5-17,714.4699707,693.9099731,709.9000244,695.2700195,5121400,695.2700195
2016-5-18,702.539978,688.7600098,689.5599976,697.4500122,4283200,697.4500122
2016-5-19,699.4000244,689.5599976,691.8800049,698.5200195,3025600,698.5200195
2016-5-20,707.2399902,700,701.0499878,702.7999878,2916200,702.7999878
2016-5-23,706,696.4199829,704.25,696.75,2595100,696.75
2016-5-24,707.5,698,698.0100098,704.2000122,3033800,704.2000122
2016-5-25,710.8599854,705.5200195,708,708.3499756,3267700,708.3499756
2016-5-26,715,707.289978,708.3300171,714.9099731,2446700,714.9099731
2016-5-27,716.5999756,711.0999756,715,712.2399902,2249200,712.2399902
2016-5-31,724.2299805,711.3200073,712.3300171,722.789978,3618300,722.789978
2016-6-1,726.4299927,718.2199707,720.9000244,719.4400024,3263100,719.4400024
2016-6-2,728.2800293,715.5,720.9699707,728.2399902,3026600,728.2399902
2016-6-3,727,718.4299927,726.7399902,725.539978,3367300,725.539978
2016-6-6,731.5,724.4199829,726.5,726.7299805,2704800,726.7299805
2016-6-7,730,720.5499878,729.8900146,723.7399902,2732500,723.7399902
2016-6-8,729.4199829,721.5999756,726.4000244,726.6400146,2223400,726.6400146
2016-6-9,728.9099731,722.2999878,723.0999756,727.6500244,2170300,727.6500244
2016-6-10,724.9799805,714.210022,722.3499756,717.9099731,3425700,717.9099731
2016-6-13,721.9899902,711.1599731,714.0100098,715.2399902,3352200,715.2399902
2016-6-14,720.8099976,712.2700195,712.3300171,719.2999878,2506900,719.2999878
2016-6-15,722.5599976,713.3499756,722,714.2600098,2709400,714.2600098
2016-6-16,718,705.2999878,712.0499878,717.5100098,3098000,717.5100098
2016-6-17,718.2000122,699.1799927,718.1900024,706.3900146,5897800,706.3900146
2016-6-20,721.3099976,710.8099976,713.5,714.0100098,3677200,714.0100098
2016-6-21,718.4000244,712.7199707,715.7199707,715.8200073,2137500,715.8200073
2016-6-22,717,707.5700073,716.5800171,710.5999756,2260500,710.5999756
2016-6-23,722.1199951,712.5,715.5,722.0800171,2825000,722.0800171
2016-6-24,712.5300293,692.2000122,693,698.960022,7632500,698.960022
2016-6-27,696.8200073,682.1199951,692.0100098,691.3599854,5568000,691.3599854
2016-6-28,708,698.1699829,700,707.9500122,4037000,707.9500122
2016-6-29,719.5,713.539978,715.75,715.5999756,3070100,715.5999756
2016-6-30,719.3699951,712.539978,717.2000122,715.6199951,2855100,715.6199951
2016-7-1,728,716.539978,717.3200073,725.6799927,2920400,725.6799927
2016-7-5,729.5599976,719.6099854,722.7999878,728.0999756,2431400,728.0999756
2016-7-6,737.7700195,722.5800171,725.710022,737.6099854,3938200,737.6099854
2016-7-7,739.5499878,731.6300049,739.3300171,736.5700073,2945800,736.5700073
2016-7-8,746.0999756,738,740.1400146,745.8099976,3429200,745.8099976
2016-7-11,755.9000244,747,750,753.7800293,3195300,753.7800293
2016-7-12,757.3400269,740.3300171,756.8599854,748.210022,5623700,748.210022
2016-7-13,756.8699951,741.25,746.7600098,742.6300049,4142300,742.6300049
2016-7-14,749.039978,739.0200195,748.8599854,741.2000122,2390500,741.2000122
2016-7-15,746.5499878,734.0499878,746.5499878,735.4400024,3121400,735.4400024
2016-7-18,741.5999756,728.7199707,735.4899902,736.0700073,2954900,736.0700073
2016-7-19,743.3300171,732.3099976,732.5,739.9500122,2216800,739.9500122
